合约编号,买一价,买一量,卖一价,卖一量,开盘价,最高价,最低价,最新价,持仓量,成交量,涨停价,跌停价,昨结算价,今日平均价,行情更新时间,更新毫秒数
IF1509,1.79769313486232E+308,0,1.79769313486232E+308,0,1.79769313486232E+308,1.79769313486232E+308,1.79769313486232E+308,3132.2,91084,0,3448.4,2821.6,3135,0,07:16:02,500
IF1509,3047.8,5,3050,89,3050,3050,3050,3050,91346,695,3448.4,2821.6,3135,3050,09:14:00,500
IF1509,3043,7,3044.4,2,3050,3050,3032,3044.4,91675,1559,3448.4,2821.6,3135,3046.22809493265,09:15:00,500
IF1509,3042.2,3,3042.4,4,3050,3050,3020,3042.4,91861,2633,3448.4,2821.6,3135,3041.41868590961,09:15:01,0
IF1509,3020.8,1,3040.2,1,3050,3050,3012.2,3040.2,92012,3323,3448.4,2821.6,3135,3039.21775504063,09:15:01,500
IF1509,3011.6,5,3020.8,89,3050,3050,3011.4,3011.6,92268,4088,3448.4,2821.6,3135,3036.91643835618,09:15:02,0
IF1509,3013.8,31,3018.8,2,3050,3050,3011.4,3016,92307,4968,3448.4,2821.6,3135,3033.55845410629,09:15:02,500
IF1509,3014.4,6,3014.6,1,3050,3050,3011.4,3014.4,92393,5823,3448.4,2821.6,3135,3031.00405289371,09:15:03,0
IF1509,3018.8,15,3030,10,3050,3050,3011.4,3018.8,92640,6457,3448.4,2821.6,3135,3029.78711475918,09:15:03,500
IF1509,3022,6,3026.2,8,3050,3050,3011.4,3022,92777,7064,3448.4,2821.6,3135,3029.48258776898,09:15:04,0
IF1509,3023.4,7,3024.6,5,3050,3050,3011.4,3024.6,92910,7764,3448.4,2821.6,3135,3028.9125965997,09:15:04,500
IF1509,3020.8,1,3023.4,78,3050,3050,3011.4,3023.2,93046,8317,3448.4,2821.6,3135,3028.51665263918,09:15:05,0
IF1509,3014.8,6,3018.8,15,3050,3050,3011.4,3018.8,93175,8660,3448.4,2821.6,3135,3028.16755196306,09:15:05,500
IF1509,3014.6,86,3014.8,3,3050,3050,3011.4,3014.8,93223,9045,3448.4,2821.6,3135,3027.61598673301,09:15:06,0
IF1509,3011,9,3011.8,20,3050,3050,3011,3011.8,93311,9374,3448.4,2821.6,3135,3027.11527629614,09:15:06,500
IF1509,3007.4,2,3010.2,10,3050,3050,3007.4,3010.2,93440,9696,3448.4,2821.6,3135,3026.53242574258,09:15:07,0
IF1509,3009,1,3009.4,4,3050,3050,3006,3009,93474,10137,3448.4,2821.6,3135,3025.75211601066,09:15:07,500
IF1509,3005.4,21,3009,18,3050,3050,3005.4,3005.4,93453,10654,3448.4,2821.6,3135,3024.95877604656,09:15:08,0
IF1509,3007.4,8,3008.6,1,3050,3050,3005.4,3007.6,93582,11227,3448.4,2821.6,3135,3024.16453193196,09:15:08,500
IF1509,3006.2,61,3007.4,9,3050,3050,3005.4,3007.4,93606,11607,3448.4,2821.6,3135,3023.6705091755,09:15:09,0
